# Anregung: e + Xe -> e + Xe(2P6) bei 9.821 eV, Schwelle 9.821 eV | Xenon (biagi) | tabelliert
Te_eV,K_m3s
0.5,2.004969e-24
0.55,1.237595e-23
0.6,5.647640e-23
0.65,2.042444e-22
0.7,6.151788e-22
0.75,1.600496e-21
0.8,3.696540e-21
0.85,7.739634e-21
0.9,1.493173e-20
0.95,2.688800e-20
1,4.566085e-20
1.05,7.373847e-20
1.1,1.140194e-19
1.15,1.697667e-19
1.2,2.445466e-19
1.25,3.421574e-19
1.3,4.665531e-19
1.35,6.217669e-19
1.4,8.118370e-19
1.45,1.040739e-18
1.5,1.312326e-18
1.55,1.630275e-18
1.6,1.998044e-18
1.65,2.418839e-18
1.7,2.895588e-18
1.75,3.430922e-18
1.8,4.027161e-18
1.85,4.686315e-18
1.9,5.410081e-18
1.95,6.199844e-18
2,7.056694e-18
2.05,7.981427e-18
2.1,8.974565e-18
2.15,1.003637e-17
2.2,1.116685e-17
2.25,1.236581e-17
2.3,1.363281e-17
2.35,1.496724e-17
2.4,1.636830e-17
2.45,1.783504e-17
2.5,1.936636e-17
2.55,2.096103e-17
2.6,2.261771e-17
2.65,2.433496e-17
2.7,2.611125e-17
2.75,2.794499e-17
2.8,2.983449e-17
2.85,3.177806e-17
2.9,3.377393e-17
2.95,3.582031e-17
3,3.791538e-17
3.05,4.005732e-17
3.1,4.224428e-17
3.15,4.447442e-17
3.2,4.674589e-17
3.25,4.905686e-17
3.3,5.140552e-17
3.35,5.379004e-17
3.4,5.620865e-17
3.45,5.865959e-17
3.5,6.114112e-17
3.55,6.365153e-17
3.6,6.618915e-17
3.65,6.875234e-17
3.7,7.133947e-17
3.75,7.394899e-17
3.8,7.657935e-17
3.85,7.922906e-17
3.9,8.189665e-17
3.95,8.458070e-17
4,8.727983e-17
4.05,8.999270e-17
4.1,9.271799e-17
4.15,9.545444e-17
4.2,9.820082e-17
4.25,1.009560e-16
4.3,1.037187e-16
4.35,1.064879e-16
4.4,1.092625e-16
4.45,1.120415e-16
4.5,1.148238e-16
4.55,1.176086e-16
4.6,1.203948e-16
4.65,1.231816e-16
4.7,1.259681e-16
4.75,1.287534e-16
4.8,1.315369e-16
4.85,1.343176e-16
4.9,1.370950e-16
4.95,1.398682e-16
5,1.426365e-16
5.05,1.453995e-16
5.1,1.481563e-16
5.15,1.509064e-16
5.2,1.536493e-16
5.25,1.563845e-16
5.3,1.591112e-16
5.35,1.618292e-16
5.4,1.645379e-16
5.45,1.672369e-16
5.5,1.699257e-16
5.55,1.726039e-16
5.6,1.752712e-16
5.65,1.779271e-16
5.7,1.805713e-16
5.75,1.832036e-16
5.8,1.858235e-16
5.85,1.884307e-16
5.9,1.910251e-16
5.95,1.936063e-16
6,1.961741e-16
6.05,1.987283e-16
6.1,2.012685e-16
6.15,2.037947e-16
6.2,2.063066e-16
6.25,2.088041e-16
6.3,2.112869e-16
6.35,2.137550e-16
6.4,2.162081e-16
6.45,2.186462e-16
6.5,2.210691e-16
6.55,2.234767e-16
6.6,2.258690e-16
6.65,2.282457e-16
6.7,2.306069e-16
6.75,2.329524e-16
6.8,2.352822e-16
6.85,2.375962e-16
6.9,2.398944e-16
6.95,2.421767e-16
7,2.444431e-16
7.05,2.466935e-16
7.1,2.489280e-16
7.15,2.511465e-16
7.2,2.533490e-16
7.25,2.555355e-16
7.3,2.577060e-16
7.35,2.598604e-16
7.4,2.619989e-16
7.45,2.641214e-16
7.5,2.662280e-16
7.55,2.683185e-16
7.6,2.703932e-16
7.65,2.724520e-16
7.7,2.744950e-16
7.75,2.765221e-16
7.8,2.785335e-16
7.85,2.805291e-16
7.9,2.825091e-16
7.95,2.844734e-16
8,2.864222e-16
8.05,2.883554e-16
8.1,2.902732e-16
8.15,2.921756e-16
8.2,2.940626e-16
8.25,2.959344e-16
8.3,2.977910e-16
8.35,2.996325e-16
8.4,3.014589e-16
8.45,3.032703e-16
8.5,3.050668e-16
8.55,3.068484e-16
8.6,3.086153e-16
8.65,3.103676e-16
8.7,3.121052e-16
8.75,3.138283e-16
8.8,3.155370e-16
8.85,3.172313e-16
8.9,3.189113e-16
8.95,3.205772e-16
9,3.222290e-16
9.05,3.238667e-16
9.1,3.254906e-16
9.15,3.271006e-16
9.2,3.286969e-16
9.25,3.302795e-16
9.3,3.318485e-16
9.35,3.334041e-16
9.4,3.349462e-16
9.45,3.364751e-16
9.5,3.379908e-16
9.55,3.394934e-16
9.6,3.409829e-16
9.65,3.424595e-16
9.7,3.439233e-16
9.75,3.453743e-16
9.8,3.468127e-16
9.85,3.482385e-16
9.9,3.496518e-16
9.95,3.510527e-16
10,3.524414e-16
10.05,3.538178e-16
10.1,3.551822e-16
10.15,3.565345e-16
10.2,3.578749e-16
10.25,3.592035e-16
10.3,3.605203e-16
10.35,3.618254e-16
10.4,3.631190e-16
10.45,3.644012e-16
10.5,3.656719e-16
10.55,3.669313e-16
