# Anregung: e + Xe -> e + Xe(2S2) bei 11.878 eV, Schwelle 11.878 eV | Xenon (xenon, biagi) | tabelliert
Te_eV,K_m3s
0.5,1.022218e-26
0.55,9.303200e-26
0.6,5.882681e-25
0.65,2.810207e-24
0.7,1.076750e-23
0.75,3.457647e-23
0.8,9.617274e-23
0.85,2.376209e-22
0.9,5.318700e-22
0.95,1.095346e-21
1,2.101432e-21
1.05,3.793728e-21
1.1,6.498019e-21
1.15,1.063205e-20
1.2,1.671244e-20
1.25,2.535844e-20
1.3,3.729242e-20
1.35,5.333715e-20
1.4,7.441044e-20
1.45,1.015172e-19
1.5,1.357400e-19
1.55,1.782277e-19
1.6,2.301836e-19
1.65,2.928532e-19
1.7,3.675116e-19
1.75,4.554513e-19
1.8,5.579706e-19
1.85,6.763627e-19
1.9,8.119054e-19
1.95,9.658525e-19
2,1.139425e-18
2.05,1.333804e-18
2.1,1.550126e-18
2.15,1.789475e-18
2.2,2.052882e-18
2.25,2.341319e-18
2.3,2.655697e-18
2.35,2.996864e-18
2.4,3.365607e-18
2.45,3.762645e-18
2.5,4.188636e-18
2.55,4.644173e-18
2.6,5.129788e-18
2.65,5.645951e-18
2.7,6.193070e-18
2.75,6.771497e-18
2.8,7.381528e-18
2.85,8.023404e-18
2.9,8.697313e-18
2.95,9.403395e-18
3,1.014174e-17
3.05,1.091240e-17
3.1,1.171538e-17
3.15,1.255063e-17
3.2,1.341809e-17
3.25,1.431765e-17
3.3,1.524916e-17
3.35,1.621245e-17
3.4,1.720732e-17
3.45,1.823353e-17
3.5,1.929083e-17
3.55,2.037893e-17
3.6,2.149755e-17
3.65,2.264636e-17
3.7,2.382502e-17
3.75,2.503318e-17
3.8,2.627046e-17
3.85,2.753650e-17
3.9,2.883088e-17
3.95,3.015322e-17
4,3.150309e-17
4.05,3.288007e-17
4.1,3.428373e-17
4.15,3.571364e-17
4.2,3.716936e-17
4.25,3.865043e-17
4.3,4.015642e-17
4.35,4.168686e-17
4.4,4.324132e-17
4.45,4.481932e-17
4.5,4.642042e-17
4.55,4.804416e-17
4.6,4.969009e-17
4.65,5.135774e-17
4.7,5.304668e-17
4.75,5.475645e-17
4.8,5.648660e-17
4.85,5.823668e-17
4.9,6.000625e-17
4.95,6.179488e-17
5,6.360213e-17
5.05,6.542757e-17
5.1,6.727077e-17
5.15,6.913130e-17
5.2,7.100875e-17
5.25,7.290270e-17
5.3,7.481275e-17
5.35,7.673849e-17
5.4,7.867952e-17
5.45,8.063545e-17
5.5,8.260589e-17
5.55,8.459045e-17
5.6,8.658876e-17
5.65,8.860045e-17
5.7,9.062515e-17
5.75,9.266249e-17
5.8,9.471212e-17
5.85,9.677370e-17
5.9,9.884687e-17
5.95,1.009313e-16
6,1.030267e-16
6.05,1.051326e-16
6.1,1.072488e-16
6.15,1.093750e-16
6.2,1.115108e-16
6.25,1.136560e-16
6.3,1.158102e-16
6.35,1.179731e-16
6.4,1.201445e-16
6.45,1.223241e-16
6.5,1.245115e-16
6.55,1.267066e-16
6.6,1.289090e-16
6.65,1.311185e-16
6.7,1.333348e-16
6.75,1.355577e-16
6.8,1.377869e-16
6.85,1.400221e-16
6.9,1.422632e-16
6.95,1.445099e-16
7,1.467620e-16
7.05,1.490192e-16
7.1,1.512813e-16
7.15,1.535481e-16
7.2,1.558194e-16
7.25,1.580950e-16
7.3,1.603747e-16
7.35,1.626582e-16
7.4,1.649454e-16
7.45,1.672361e-16
7.5,1.695301e-16
7.55,1.718272e-16
7.6,1.741273e-16
7.65,1.764301e-16
7.7,1.787355e-16
7.75,1.810433e-16
7.8,1.833534e-16
7.85,1.856655e-16
7.9,1.879796e-16
7.95,1.902954e-16
8,1.926129e-16
8.05,1.949318e-16
8.1,1.972521e-16
8.15,1.995735e-16
8.2,2.018960e-16
8.25,2.042194e-16
8.3,2.065436e-16
8.35,2.088684e-16
8.4,2.111937e-16
8.45,2.135194e-16
8.5,2.158453e-16
8.55,2.181715e-16
8.6,2.204976e-16
8.65,2.228237e-16
8.7,2.251495e-16
8.75,2.274751e-16
8.8,2.298002e-16
8.85,2.321248e-16
8.9,2.344488e-16
8.95,2.367721e-16
9,2.390946e-16
9.05,2.414162e-16
9.1,2.437367e-16
9.15,2.460562e-16
9.2,2.483744e-16
9.25,2.506914e-16
9.3,2.530070e-16
9.35,2.553212e-16
9.4,2.576339e-16
9.45,2.599450e-16
9.5,2.622544e-16
9.55,2.645620e-16
9.6,2.668678e-16
9.65,2.691717e-16
9.7,2.714737e-16
9.75,2.737736e-16
9.8,2.760713e-16
9.85,2.783670e-16
9.9,2.806604e-16
9.95,2.829515e-16
10,2.852402e-16
10.05,2.875265e-16
10.1,2.898103e-16
10.15,2.920917e-16
10.2,2.943704e-16
10.25,2.966465e-16
10.3,2.989199e-16
10.35,3.011905e-16
10.4,3.034584e-16
10.45,3.057234e-16
10.5,3.079855e-16
10.55,3.102447e-16
10.6,3.125010e-16
10.65,3.147542e-16
10.7,3.170043e-16
10.75,3.192513e-16
10.8,3.214952e-16
10.85,3.237359e-16
10.9,3.259734e-16
10.95,3.282076e-16
11,3.304385e-16
11.05,3.326661e-16
11.1,3.348903e-16
11.15,3.371112e-16
11.2,3.393286e-16
11.25,3.415425e-16
11.3,3.437529e-16
11.35,3.459598e-16
11.4,3.481632e-16
11.45,3.503630e-16
