# Anregung: e + Xe -> e + Xe(3S1!) bei 11.607 eV, Schwelle 11.607 eV | Xenon (xenon, biagi) | tabelliert
Te_eV,K_m3s
0.5,1.202370e-25
0.55,1.041773e-24
0.6,6.323008e-24
0.65,2.917650e-23
0.7,1.085196e-22
0.75,3.396203e-22
0.8,9.235990e-22
0.85,2.237104e-21
0.9,4.919682e-21
0.95,9.972887e-21
1,1.886295e-20
1.05,3.361816e-20
1.1,5.691289e-20
1.15,9.213198e-20
1.2,1.434115e-19
1.25,2.156541e-19
1.3,3.145194e-19
1.35,4.463918e-19
1.4,6.183274e-19
1.45,8.379861e-19
1.5,1.113551e-18
1.55,1.453638e-18
1.6,1.867206e-18
1.65,2.363458e-18
1.7,2.951751e-18
1.75,3.641503e-18
1.8,4.442115e-18
1.85,5.362884e-18
1.9,6.412940e-18
1.95,7.601178e-18
2,8.936209e-18
2.05,1.042631e-17
2.1,1.207937e-17
2.15,1.390289e-17
2.2,1.590394e-17
2.25,1.808912e-17
2.3,2.046458e-17
2.35,2.303600e-17
2.4,2.580859e-17
2.45,2.878706e-17
2.5,3.197568e-17
2.55,3.537823e-17
2.6,3.899806e-17
2.65,4.283805e-17
2.7,4.690069e-17
2.75,5.118801e-17
2.8,5.570167e-17
2.85,6.044296e-17
2.9,6.541277e-17
2.95,7.061166e-17
3,7.603989e-17
3.05,8.169736e-17
3.1,8.758371e-17
3.15,9.369829e-17
3.2,1.000402e-16
3.25,1.066083e-16
3.3,1.134013e-16
3.35,1.204175e-16
3.4,1.276551e-16
3.45,1.351124e-16
3.5,1.427870e-16
3.55,1.506768e-16
3.6,1.587794e-16
3.65,1.670922e-16
3.7,1.756126e-16
3.75,1.843379e-16
3.8,1.932652e-16
3.85,2.023916e-16
3.9,2.117141e-16
3.95,2.212298e-16
4,2.309354e-16
4.05,2.408278e-16
4.1,2.509039e-16
4.15,2.611603e-16
4.2,2.715940e-16
4.25,2.822015e-16
4.3,2.929796e-16
4.35,3.039250e-16
4.4,3.150344e-16
4.45,3.263045e-16
4.5,3.377320e-16
4.55,3.493136e-16
4.6,3.610461e-16
4.65,3.729261e-16
4.7,3.849504e-16
4.75,3.971158e-16
4.8,4.094191e-16
4.85,4.218571e-16
4.9,4.344266e-16
4.95,4.471246e-16
5,4.599479e-16
5.05,4.728935e-16
5.1,4.859584e-16
5.15,4.991395e-16
5.2,5.124339e-16
5.25,5.258387e-16
5.3,5.393511e-16
5.35,5.529681e-16
5.4,5.666869e-16
5.45,5.805049e-16
5.5,5.944192e-16
5.55,6.084273e-16
5.6,6.225264e-16
5.65,6.367140e-16
5.7,6.509875e-16
5.75,6.653444e-16
5.8,6.797822e-16
5.85,6.942984e-16
5.9,7.088908e-16
5.95,7.235569e-16
6,7.382944e-16
6.05,7.531010e-16
6.1,7.679746e-16
6.15,7.829129e-16
6.2,7.979138e-16
6.25,8.129752e-16
6.3,8.280950e-16
6.35,8.432711e-16
6.4,8.585016e-16
6.45,8.737845e-16
6.5,8.891179e-16
6.55,9.044999e-16
6.6,9.199287e-16
6.65,9.354024e-16
6.7,9.509193e-16
6.75,9.664777e-16
6.8,9.820758e-16
6.85,9.977119e-16
6.9,1.013385e-15
6.95,1.029092e-15
7,1.044833e-15
7.05,1.060605e-15
7.1,1.076408e-15
7.15,1.092239e-15
7.2,1.108097e-15
7.25,1.123982e-15
7.3,1.139891e-15
7.35,1.155823e-15
7.4,1.171777e-15
7.45,1.187751e-15
7.5,1.203745e-15
7.55,1.219756e-15
7.6,1.235785e-15
7.65,1.251828e-15
7.7,1.267887e-15
7.75,1.283958e-15
7.8,1.300042e-15
7.85,1.316137e-15
7.9,1.332241e-15
7.95,1.348355e-15
8,1.364477e-15
8.05,1.380605e-15
8.1,1.396740e-15
8.15,1.412879e-15
8.2,1.429022e-15
8.25,1.445169e-15
8.3,1.461318e-15
8.35,1.477468e-15
8.4,1.493618e-15
8.45,1.509769e-15
8.5,1.525918e-15
8.55,1.542065e-15
8.6,1.558210e-15
8.65,1.574351e-15
8.7,1.590488e-15
8.75,1.606620e-15
