# Anregung: e + Xe -> e + Xe(4S4) bei 11.583 eV, Schwelle 11.583 eV | Xenon (biagi) | tabelliert
Te_eV,K_m3s
0.5,3.315955e-28
0.55,2.860397e-27
0.6,1.729733e-26
0.65,7.956767e-26
0.7,2.951570e-25
0.75,9.215836e-25
0.8,2.501187e-24
0.85,6.047473e-24
0.9,1.327810e-23
0.95,2.687842e-23
1,5.077359e-23
1.05,9.038587e-23
1.1,1.528556e-22
1.15,2.472092e-22
1.2,3.844648e-22
1.25,5.776693e-22
1.3,8.418702e-22
1.35,1.194026e-21
1.4,1.652866e-21
1.45,2.238704e-21
1.5,2.973226e-21
1.55,3.879251e-21
1.6,4.980484e-21
1.65,6.301267e-21
1.7,7.866328e-21
1.75,9.700547e-21
1.8,1.182873e-20
1.85,1.427542e-20
1.9,1.706467e-20
1.95,2.021993e-20
2,2.376387e-20
2.05,2.771826e-20
2.1,3.210388e-20
2.15,3.694042e-20
2.2,4.224644e-20
2.25,4.803928e-20
2.3,5.433508e-20
2.35,6.114870e-20
2.4,6.849377e-20
2.45,7.638263e-20
2.5,8.482642e-20
2.55,9.383501e-20
2.6,1.034171e-19
2.65,1.135802e-19
2.7,1.243308e-19
2.75,1.356740e-19
2.8,1.476143e-19
2.85,1.601548e-19
2.9,1.732978e-19
2.95,1.870447e-19
3,2.013960e-19
3.05,2.163514e-19
3.1,2.319099e-19
3.15,2.480697e-19
3.2,2.648283e-19
3.25,2.821826e-19
3.3,3.001289e-19
3.35,3.186631e-19
3.4,3.377803e-19
3.45,3.574753e-19
3.5,3.777426e-19
3.55,3.985760e-19
3.6,4.199693e-19
3.65,4.419157e-19
3.7,4.644082e-19
3.75,4.874395e-19
3.8,5.110021e-19
3.85,5.350883e-19
3.9,5.596902e-19
3.95,5.847997e-19
4,6.104085e-19
4.05,6.365083e-19
4.1,6.630908e-19
4.15,6.901472e-19
4.2,7.176692e-19
4.25,7.456479e-19
4.3,7.740748e-19
4.35,8.029411e-19
4.4,8.322381e-19
4.45,8.619570e-19
4.5,8.920892e-19
4.55,9.226260e-19
4.6,9.535588e-19
4.65,9.848788e-19
4.7,1.016578e-18
4.75,1.048647e-18
4.8,1.081077e-18
4.85,1.113862e-18
4.9,1.146991e-18
4.95,1.180457e-18
5,1.214252e-18
5.05,1.248368e-18
5.1,1.282796e-18
5.15,1.317529e-18
5.2,1.352559e-18
5.25,1.387879e-18
5.3,1.423480e-18
5.35,1.459355e-18
5.4,1.495498e-18
5.45,1.531900e-18
5.5,1.568554e-18
5.55,1.605454e-18
5.6,1.642592e-18
5.65,1.679962e-18
5.7,1.717557e-18
5.75,1.755371e-18
5.8,1.793395e-18
5.85,1.831626e-18
5.9,1.870055e-18
5.95,1.908677e-18
6,1.947486e-18
6.05,1.986476e-18
6.1,2.025641e-18
6.15,2.064975e-18
6.2,2.104473e-18
6.25,2.144128e-18
6.3,2.183936e-18
6.35,2.223892e-18
6.4,2.263989e-18
6.45,2.304223e-18
6.5,2.344589e-18
6.55,2.385082e-18
6.6,2.425697e-18
6.65,2.466429e-18
6.7,2.507274e-18
6.75,2.548226e-18
6.8,2.589282e-18
6.85,2.630438e-18
6.9,2.671688e-18
6.95,2.713029e-18
7,2.754456e-18
7.05,2.795966e-18
7.1,2.837554e-18
7.15,2.879217e-18
7.2,2.920951e-18
7.25,2.962752e-18
7.3,3.004616e-18
7.35,3.046541e-18
7.4,3.088521e-18
7.45,3.130555e-18
7.5,3.172639e-18
7.55,3.214769e-18
7.6,3.256942e-18
7.65,3.299155e-18
7.7,3.341405e-18
7.75,3.383690e-18
7.8,3.426005e-18
7.85,3.468349e-18
7.9,3.510718e-18
7.95,3.553110e-18
8,3.595522e-18
8.05,3.637951e-18
8.1,3.680395e-18
8.15,3.722851e-18
8.2,3.765318e-18
8.25,3.807791e-18
8.3,3.850270e-18
8.35,3.892752e-18
8.4,3.935235e-18
8.45,3.977715e-18
8.5,4.020193e-18
8.55,4.062664e-18
8.6,4.105127e-18
8.65,4.147581e-18
8.7,4.190023e-18
8.75,4.232451e-18
8.8,4.274864e-18
8.85,4.317259e-18
8.9,4.359636e-18
8.95,4.401991e-18
9,4.444324e-18
9.05,4.486632e-18
9.1,4.528915e-18
9.15,4.571171e-18
9.2,4.613397e-18
9.25,4.655593e-18
9.3,4.697758e-18
9.35,4.739888e-18
9.4,4.781985e-18
9.45,4.824045e-18
9.5,4.866068e-18
9.55,4.908052e-18
9.6,4.949996e-18
9.65,4.991899e-18
9.7,5.033760e-18
9.75,5.075577e-18
9.8,5.117349e-18
9.85,5.159076e-18
9.9,5.200755e-18
9.95,5.242387e-18
10,5.283970e-18
10.05,5.325503e-18
10.1,5.366985e-18
10.15,5.408415e-18
10.2,5.449792e-18
10.25,5.491115e-18
10.3,5.532384e-18
10.35,5.573597e-18
10.4,5.614754e-18
10.45,5.655854e-18
10.5,5.696896e-18
10.55,5.737879e-18
10.6,5.778803e-18
10.65,5.819667e-18
10.7,5.860470e-18
10.75,5.901211e-18
10.8,5.941890e-18
10.85,5.982506e-18
10.9,6.023059e-18
10.95,6.063547e-18
11,6.103971e-18
11.05,6.144329e-18
11.1,6.184622e-18
11.15,6.224848e-18
11.2,6.265007e-18
11.25,6.305099e-18
11.3,6.345123e-18
11.35,6.385078e-18
11.4,6.424965e-18
11.45,6.464782e-18
11.5,6.504529e-18
11.55,6.544207e-18
11.6,6.583813e-18
11.65,6.623349e-18
11.7,6.662813e-18
11.75,6.702205e-18
11.8,6.741525e-18
11.85,6.780773e-18
11.9,6.819948e-18
11.95,6.859050e-18
12,6.898078e-18
12.05,6.937033e-18
12.1,6.975913e-18
12.15,7.014719e-18
12.2,7.053451e-18
12.25,7.092108e-18
12.3,7.130689e-18
12.35,7.169196e-18
12.4,7.207627e-18
12.45,7.245982e-18
12.5,7.284261e-18
12.55,7.322463e-18
12.6,7.360590e-18
12.65,7.398640e-18
12.7,7.436613e-18
12.75,7.474509e-18
12.8,7.512328e-18
12.85,7.550070e-18
12.9,7.587735e-18
12.95,7.625322e-18
13,7.662832e-18
13.05,7.700264e-18
13.1,7.737618e-18
13.15,7.774894e-18
13.2,7.812092e-18
13.25,7.849212e-18
13.3,7.886253e-18
13.35,7.923217e-18
13.4,7.960102e-18
13.45,7.996908e-18
13.5,8.033637e-18
13.55,8.070286e-18
13.6,8.106857e-18
13.65,8.143350e-18
13.7,8.179763e-18
13.75,8.216098e-18
13.8,8.252355e-18
13.85,8.288532e-18
13.9,8.324631e-18
13.95,8.360651e-18
14,8.396592e-18
14.05,8.432454e-18
14.1,8.468238e-18
14.15,8.503943e-18
14.2,8.539569e-18
14.25,8.575116e-18
14.3,8.610585e-18
14.35,8.645975e-18
14.4,8.681286e-18
14.45,8.716519e-18
14.5,8.751673e-18
14.55,8.786749e-18
14.6,8.821746e-18
14.65,8.856664e-18
14.7,8.891504e-18
14.75,8.926266e-18
14.8,8.960949e-18
14.85,8.995554e-18
14.9,9.030081e-18
14.95,9.064530e-18
15,9.098901e-18
15.05,9.133194e-18
15.1,9.167409e-18
15.15,9.201546e-18
15.2,9.235605e-18
15.25,9.269587e-18
15.3,9.303491e-18
15.35,9.337318e-18
15.4,9.371067e-18
15.45,9.404739e-18
15.5,9.438334e-18
15.55,9.471852e-18
15.6,9.505293e-18
15.65,9.538656e-18
15.7,9.571943e-18
15.75,9.605154e-18
15.8,9.638288e-18
15.85,9.671345e-18
15.9,9.704326e-18
15.95,9.737231e-18
16,9.770059e-18
16.05,9.802812e-18
16.1,9.835489e-18
16.15,9.868090e-18
16.2,9.900615e-18
16.25,9.933065e-18
16.3,9.965440e-18
16.35,9.997739e-18
16.4,1.002996e-17
16.45,1.006211e-17
16.5,1.009419e-17
16.55,1.012619e-17
16.6,1.015811e-17
16.65,1.018996e-17
16.7,1.022174e-17
16.75,1.025344e-17
16.8,1.028507e-17
16.85,1.031662e-17
16.9,1.034810e-17
16.95,1.037951e-17
17,1.041084e-17
17.05,1.044210e-17
17.1,1.047329e-17
17.15,1.050440e-17
17.2,1.053545e-17
17.25,1.056641e-17
17.3,1.059731e-17
17.35,1.062813e-17
17.4,1.065888e-17
17.45,1.068956e-17
17.5,1.072017e-17
17.55,1.075071e-17
17.6,1.078117e-17
17.65,1.081156e-17
17.7,1.084188e-17
17.75,1.087213e-17
17.8,1.090231e-17
17.85,1.093242e-17
17.9,1.096246e-17
17.95,1.099242e-17
18,1.102232e-17
18.05,1.105215e-17
18.1,1.108190e-17
18.15,1.111159e-17
18.2,1.114120e-17
18.25,1.117075e-17
18.3,1.120023e-17
18.35,1.122964e-17
18.4,1.125897e-17
18.45,1.128825e-17
18.5,1.131745e-17
18.55,1.134658e-17
18.6,1.137564e-17
18.65,1.140464e-17
18.7,1.143357e-17
18.75,1.146243e-17
18.8,1.149122e-17
18.85,1.151995e-17
18.9,1.154860e-17
18.95,1.157719e-17
19,1.160572e-17
19.05,1.163417e-17
19.1,1.166256e-17
19.15,1.169088e-17
19.2,1.171914e-17
19.25,1.174733e-17
19.3,1.177545e-17
19.35,1.180351e-17
19.4,1.183150e-17
19.45,1.185943e-17
19.5,1.188729e-17
19.55,1.191509e-17
19.6,1.194282e-17
19.65,1.197048e-17
19.7,1.199809e-17
19.75,1.202562e-17
19.8,1.205309e-17
19.85,1.208050e-17
19.9,1.210785e-17
19.95,1.213513e-17
20,1.216234e-17
