# Anregung: e + Xe -> e + Xe(6D5) bei 11.683 eV, Schwelle 11.683 eV | Xenon (biagi) | tabelliert
Te_eV,K_m3s
0.5,4.710726e-27
0.55,4.137984e-26
0.6,2.540447e-25
0.65,1.183655e-24
0.7,4.439199e-24
0.75,1.399309e-23
0.8,3.829448e-23
0.85,9.327170e-23
0.9,2.061311e-22
0.95,4.197053e-22
1,7.970001e-22
1.05,1.425553e-21
1.1,2.421245e-21
1.15,3.931278e-21
1.2,6.136129e-21
1.25,9.250395e-21
1.3,1.352253e-20
1.35,1.923358e-20
1.4,2.669494e-20
1.45,3.624549e-20
1.5,4.824808e-20
1.55,6.308566e-20
1.6,8.115715e-20
1.65,1.028733e-19
1.7,1.286525e-19
1.75,1.589167e-19
1.8,1.940878e-19
1.85,2.345840e-19
1.9,2.808167e-19
1.95,3.331874e-19
2,3.920854e-19
2.05,4.578857e-19
2.1,5.309469e-19
2.15,6.116100e-19
2.2,7.001970e-19
2.25,7.970098e-19
2.3,9.023302e-19
2.35,1.016419e-18
2.4,1.139515e-18
2.45,1.271838e-18
2.5,1.413583e-18
2.55,1.564929e-18
2.6,1.726031e-18
2.65,1.897025e-18
2.7,2.078028e-18
2.75,2.269139e-18
2.8,2.470437e-18
2.85,2.681987e-18
2.9,2.903833e-18
2.95,3.136008e-18
3,3.378527e-18
3.05,3.631391e-18
3.1,3.894590e-18
3.15,4.168099e-18
3.2,4.451882e-18
3.25,4.745892e-18
3.3,5.050072e-18
3.35,5.364355e-18
3.4,5.688666e-18
3.45,6.022920e-18
3.5,6.367025e-18
3.55,6.720885e-18
3.6,7.084392e-18
3.65,7.457437e-18
3.7,7.839904e-18
3.75,8.231672e-18
3.8,8.632616e-18
3.85,9.042606e-18
3.9,9.461511e-18
3.95,9.889195e-18
4,1.032552e-17
4.05,1.077035e-17
4.1,1.122353e-17
4.15,1.168493e-17
4.2,1.215440e-17
4.25,1.263179e-17
4.3,1.311695e-17
4.35,1.360975e-17
4.4,1.411002e-17
4.45,1.461763e-17
4.5,1.513242e-17
4.55,1.565425e-17
4.6,1.618297e-17
4.65,1.671843e-17
4.7,1.726048e-17
4.75,1.780899e-17
4.8,1.836380e-17
4.85,1.892478e-17
4.9,1.949178e-17
4.95,2.006466e-17
5,2.064328e-17
5.05,2.122750e-17
5.1,2.181719e-17
5.15,2.241221e-17
5.2,2.301243e-17
5.25,2.361771e-17
5.3,2.422793e-17
5.35,2.484295e-17
5.4,2.546266e-17
5.45,2.608692e-17
5.5,2.671561e-17
5.55,2.734861e-17
5.6,2.798580e-17
5.65,2.862706e-17
5.7,2.927228e-17
5.75,2.992135e-17
5.8,3.057414e-17
5.85,3.123055e-17
5.9,3.189047e-17
5.95,3.255380e-17
6,3.322043e-17
6.05,3.389025e-17
6.1,3.456317e-17
6.15,3.523908e-17
6.2,3.591789e-17
6.25,3.659950e-17
6.3,3.728381e-17
6.35,3.797074e-17
6.4,3.866020e-17
6.45,3.935208e-17
6.5,4.004632e-17
6.55,4.074281e-17
6.6,4.144149e-17
6.65,4.214225e-17
6.7,4.284503e-17
6.75,4.354975e-17
6.8,4.425632e-17
6.85,4.496467e-17
6.9,4.567473e-17
6.95,4.638642e-17
7,4.709967e-17
7.05,4.781441e-17
7.1,4.853057e-17
7.15,4.924809e-17
7.2,4.996689e-17
7.25,5.068692e-17
7.3,5.140811e-17
7.35,5.213039e-17
7.4,5.285371e-17
7.45,5.357801e-17
7.5,5.430323e-17
7.55,5.502932e-17
7.6,5.575621e-17
7.65,5.648385e-17
7.7,5.721219e-17
7.75,5.794117e-17
7.8,5.867075e-17
7.85,5.940088e-17
7.9,6.013151e-17
7.95,6.086258e-17
8,6.159405e-17
8.05,6.232588e-17
8.1,6.305802e-17
8.15,6.379042e-17
8.2,6.452306e-17
8.25,6.525587e-17
8.3,6.598882e-17
8.35,6.672188e-17
8.4,6.745499e-17
8.45,6.818814e-17
8.5,6.892126e-17
8.55,6.965434e-17
8.6,7.038733e-17
8.65,7.112020e-17
8.7,7.185291e-17
8.75,7.258543e-17
8.8,7.331774e-17
8.85,7.404979e-17
8.9,7.478155e-17
8.95,7.551300e-17
9,7.624411e-17
9.05,7.697484e-17
9.1,7.770517e-17
9.15,7.843507e-17
9.2,7.916451e-17
9.25,7.989347e-17
9.3,8.062192e-17
9.35,8.134984e-17
9.4,8.207720e-17
9.45,8.280398e-17
9.5,8.353015e-17
9.55,8.425569e-17
9.6,8.498058e-17
9.65,8.570480e-17
9.7,8.642832e-17
9.75,8.715113e-17
9.8,8.787320e-17
9.85,8.859452e-17
9.9,8.931507e-17
9.95,9.003482e-17
10,9.075377e-17
10.05,9.147188e-17
10.1,9.218915e-17
10.15,9.290555e-17
10.2,9.362108e-17
10.25,9.433571e-17
10.3,9.504943e-17
10.35,9.576222e-17
10.4,9.647408e-17
10.45,9.718497e-17
10.5,9.789490e-17
10.55,9.860385e-17
10.6,9.931180e-17
10.65,1.000187e-16
10.7,1.007247e-16
10.75,1.014295e-16
10.8,1.021334e-16
10.85,1.028362e-16
10.9,1.035379e-16
10.95,1.042385e-16
11,1.049380e-16
11.05,1.056365e-16
11.1,1.063338e-16
11.15,1.070300e-16
11.2,1.077251e-16
11.25,1.084190e-16
11.3,1.091118e-16
11.35,1.098034e-16
11.4,1.104939e-16
11.45,1.111832e-16
11.5,1.118713e-16
11.55,1.125582e-16
11.6,1.132439e-16
11.65,1.139285e-16
11.7,1.146118e-16
11.75,1.152939e-16
11.8,1.159747e-16
11.85,1.166544e-16
11.9,1.173328e-16
11.95,1.180099e-16
12,1.186858e-16
12.05,1.193605e-16
12.1,1.200339e-16
12.15,1.207060e-16
12.2,1.213769e-16
12.25,1.220465e-16
12.3,1.227148e-16
12.35,1.233818e-16
12.4,1.240476e-16
12.45,1.247120e-16
12.5,1.253752e-16
12.55,1.260370e-16
12.6,1.266976e-16
12.65,1.273568e-16
12.7,1.280148e-16
12.75,1.286714e-16
12.8,1.293268e-16
12.85,1.299808e-16
12.9,1.306334e-16
12.95,1.312848e-16
13,1.319348e-16
13.05,1.325835e-16
13.1,1.332309e-16
13.15,1.338770e-16
13.2,1.345217e-16
13.25,1.351651e-16
13.3,1.358071e-16
13.35,1.364478e-16
13.4,1.370872e-16
13.45,1.377252e-16
13.5,1.383619e-16
13.55,1.389972e-16
13.6,1.396312e-16
13.65,1.402639e-16
13.7,1.408952e-16
13.75,1.415251e-16
13.8,1.421537e-16
13.85,1.427810e-16
13.9,1.434069e-16
13.95,1.440315e-16
14,1.446547e-16
14.05,1.452766e-16
14.1,1.458971e-16
14.15,1.465162e-16
14.2,1.471341e-16
14.25,1.477505e-16
14.3,1.483657e-16
14.35,1.489794e-16
14.4,1.495918e-16
14.45,1.502029e-16
14.5,1.508126e-16
14.55,1.514210e-16
14.6,1.520281e-16
14.65,1.526337e-16
14.7,1.532381e-16
14.75,1.538411e-16
14.8,1.544427e-16
14.85,1.550430e-16
14.9,1.556420e-16
