# Anregung: e + Xe -> e + Xe(Ex Sum 3P10-5) bei 10.902 eV, Schwelle 10.902 eV | Xenon (biagi) | tabelliert
Te_eV,K_m3s
0.5,3.776872e-25
0.55,2.908388e-24
0.6,1.597783e-23
0.65,6.766675e-23
0.7,2.335077e-22
0.75,6.838789e-22
0.8,1.752634e-21
0.85,4.023534e-21
0.9,8.426518e-21
0.95,1.633323e-20
1,2.964096e-20
1.05,5.083596e-20
1.1,8.302997e-20
1.15,1.299675e-19
1.2,1.960038e-19
1.25,2.860575e-19
1.3,4.055408e-19
1.35,5.602746e-19
1.4,7.563922e-19
1.45,1.000238e-18
1.5,1.298268e-18
1.55,1.656947e-18
1.6,2.082661e-18
1.65,2.581631e-18
1.7,3.159841e-18
1.75,3.822975e-18
1.8,4.576360e-18
1.85,5.424931e-18
1.9,6.373197e-18
1.95,7.425215e-18
2,8.584584e-18
2.05,9.854431e-18
2.1,1.123742e-17
2.15,1.273574e-17
2.2,1.435114e-17
2.25,1.608494e-17
2.3,1.793802e-17
2.35,1.991089e-17
2.4,2.200365e-17
2.45,2.421607e-17
2.5,2.654759e-17
2.55,2.899734e-17
2.6,3.156415e-17
2.65,3.424663e-17
2.7,3.704314e-17
2.75,3.995181e-17
2.8,4.297061e-17
2.85,4.609732e-17
2.9,4.932959e-17
2.95,5.266493e-17
3,5.610074e-17
3.05,5.963431e-17
3.1,6.326289e-17
3.15,6.698362e-17
3.2,7.079362e-17
3.25,7.468995e-17
3.3,7.866965e-17
3.35,8.272976e-17
3.4,8.686728e-17
3.45,9.107922e-17
3.5,9.536262e-17
3.55,9.971452e-17
3.6,1.041320e-16
3.65,1.086121e-16
3.7,1.131519e-16
3.75,1.177487e-16
3.8,1.223996e-16
3.85,1.271018e-16
3.9,1.318527e-16
3.95,1.366497e-16
4,1.414900e-16
4.05,1.463711e-16
4.1,1.512906e-16
4.15,1.562460e-16
4.2,1.612349e-16
4.25,1.662549e-16
4.3,1.713040e-16
4.35,1.763797e-16
4.4,1.814800e-16
4.45,1.866028e-16
4.5,1.917460e-16
4.55,1.969078e-16
4.6,2.020861e-16
4.65,2.072791e-16
4.7,2.124851e-16
4.75,2.177022e-16
4.8,2.229288e-16
4.85,2.281633e-16
4.9,2.334040e-16
4.95,2.386495e-16
5,2.438983e-16
5.05,2.491489e-16
5.1,2.544001e-16
5.15,2.596503e-16
5.2,2.648985e-16
5.25,2.701433e-16
5.3,2.753835e-16
5.35,2.806180e-16
5.4,2.858458e-16
5.45,2.910657e-16
5.5,2.962768e-16
5.55,3.014780e-16
5.6,3.066684e-16
5.65,3.118471e-16
5.7,3.170133e-16
5.75,3.221661e-16
5.8,3.273048e-16
5.85,3.324285e-16
5.9,3.375365e-16
5.95,3.426282e-16
6,3.477028e-16
6.05,3.527598e-16
6.1,3.577985e-16
6.15,3.628183e-16
6.2,3.678187e-16
6.25,3.727992e-16
6.3,3.777592e-16
6.35,3.826983e-16
6.4,3.876160e-16
6.45,3.925120e-16
6.5,3.973857e-16
6.55,4.022368e-16
6.6,4.070649e-16
6.65,4.118697e-16
6.7,4.166509e-16
6.75,4.214081e-16
6.8,4.261411e-16
6.85,4.308495e-16
6.9,4.355332e-16
6.95,4.401919e-16
7,4.448253e-16
7.05,4.494333e-16
7.1,4.540156e-16
7.15,4.585721e-16
7.2,4.631027e-16
7.25,4.676070e-16
7.3,4.720852e-16
7.35,4.765368e-16
7.4,4.809620e-16
7.45,4.853605e-16
7.5,4.897323e-16
7.55,4.940773e-16
7.6,4.983954e-16
