# Anregung: e + Xe -> e + Xe(exc_1) bei 8.437 eV, Schwelle 8.437 eV | Xenon (hayashi) | tabelliert
Te_eV,K_m3s
0.5,1.093885e-22
0.55,5.289496e-22
0.6,1.972248e-21
0.65,6.021420e-21
0.7,1.571289e-20
0.75,3.616519e-20
0.8,7.516953e-20
0.85,1.436595e-19
0.9,2.560056e-19
0.95,4.301140e-19
1,6.873368e-19
1.05,1.052220e-18
1.1,1.552126e-18
1.15,2.216766e-18
1.2,3.077685e-18
1.25,4.167723e-18
1.3,5.520486e-18
1.35,7.169834e-18
1.4,9.149418e-18
1.45,1.149225e-17
1.5,1.423036e-17
1.55,1.739443e-17
1.6,2.101357e-17
1.65,2.511513e-17
1.7,2.972446e-17
1.75,3.486488e-17
1.8,4.055753e-17
1.85,4.682137e-17
1.9,5.367316e-17
1.95,6.112745e-17
2,6.919664e-17
2.05,7.789104e-17
2.1,8.721889e-17
2.15,9.718652e-17
2.2,1.077984e-16
2.25,1.190571e-16
2.3,1.309638e-16
2.35,1.435178e-16
2.4,1.567172e-16
2.45,1.705586e-16
2.5,1.850375e-16
2.55,2.001481e-16
2.6,2.158837e-16
2.65,2.322366e-16
2.7,2.491982e-16
2.75,2.667592e-16
2.8,2.849097e-16
2.85,3.036390e-16
2.9,3.229362e-16
2.95,3.427898e-16
3,3.631877e-16
3.05,3.841178e-16
3.1,4.055677e-16
3.15,4.275247e-16
3.2,4.499760e-16
3.25,4.729087e-16
3.3,4.963098e-16
3.35,5.201662e-16
3.4,5.444651e-16
3.45,5.691935e-16
3.5,5.943384e-16
3.55,6.198872e-16
3.6,6.458271e-16
3.65,6.721457e-16
3.7,6.988306e-16
3.75,7.258695e-16
3.8,7.532506e-16
3.85,7.809620e-16
3.9,8.089921e-16
3.95,8.373295e-16
4,8.659632e-16
4.05,8.948822e-16
4.1,9.240759e-16
4.15,9.535337e-16
4.2,9.832456e-16
4.25,1.013202e-15
4.3,1.043392e-15
4.35,1.073807e-15
4.4,1.104438e-15
4.45,1.135276e-15
4.5,1.166312e-15
4.55,1.197538e-15
4.6,1.228945e-15
4.65,1.260525e-15
4.7,1.292271e-15
4.75,1.324174e-15
4.8,1.356229e-15
4.85,1.388427e-15
4.9,1.420762e-15
4.95,1.453226e-15
5,1.485815e-15
5.05,1.518520e-15
5.1,1.551337e-15
5.15,1.584259e-15
5.2,1.617280e-15
5.25,1.650395e-15
5.3,1.683599e-15
5.35,1.716887e-15
5.4,1.750253e-15
5.45,1.783692e-15
5.5,1.817201e-15
5.55,1.850773e-15
5.6,1.884406e-15
5.65,1.918095e-15
5.7,1.951835e-15
5.75,1.985623e-15
5.8,2.019454e-15
5.85,2.053326e-15
5.9,2.087234e-15
5.95,2.121175e-15
6,2.155146e-15
6.05,2.189143e-15
6.1,2.223163e-15
6.15,2.257204e-15
6.2,2.291261e-15
6.25,2.325334e-15
6.3,2.359417e-15
6.35,2.393510e-15
6.4,2.427610e-15
6.45,2.461713e-15
6.5,2.495817e-15
6.55,2.529921e-15
6.6,2.564022e-15
6.65,2.598118e-15
6.7,2.632206e-15
6.75,2.666285e-15
6.8,2.700353e-15
6.85,2.734407e-15
6.9,2.768446e-15
6.95,2.802468e-15
7,2.836471e-15
7.05,2.870455e-15
7.1,2.904416e-15
7.15,2.938353e-15
7.2,2.972266e-15
7.25,3.006152e-15
7.3,3.040010e-15
7.35,3.073838e-15
7.4,3.107636e-15
7.45,3.141402e-15
7.5,3.175134e-15
7.55,3.208832e-15
7.6,3.242494e-15
7.65,3.276119e-15
7.7,3.309707e-15
7.75,3.343255e-15
7.8,3.376763e-15
7.85,3.410229e-15
7.9,3.443654e-15
7.95,3.477035e-15
8,3.510372e-15
8.05,3.543664e-15
8.1,3.576911e-15
8.15,3.610110e-15
8.2,3.643262e-15
8.25,3.676365e-15
8.3,3.709420e-15
8.35,3.742424e-15
8.4,3.775377e-15
8.45,3.808279e-15
8.5,3.841129e-15
8.55,3.873926e-15
8.6,3.906669e-15
8.65,3.939359e-15
8.7,3.971993e-15
8.75,4.004572e-15
8.8,4.037095e-15
8.85,4.069561e-15
8.9,4.101970e-15
8.95,4.134322e-15
9,4.166615e-15
9.05,4.198849e-15
9.1,4.231024e-15
9.15,4.263139e-15
9.2,4.295193e-15
9.25,4.327187e-15
9.3,4.359120e-15
9.35,4.390991e-15
9.4,4.422800e-15
9.45,4.454546e-15
9.5,4.486229e-15
9.55,4.517849e-15
9.6,4.549405e-15
9.65,4.580897e-15
9.7,4.612325e-15
9.75,4.643687e-15
9.8,4.674984e-15
9.85,4.706216e-15
9.9,4.737382e-15
9.95,4.768481e-15
10,4.799514e-15
10.05,4.830480e-15
10.1,4.861379e-15
10.15,4.892211e-15
